smiles,ie,batch,time
O=C1CC(=O)N2CC12,14.361012674639937,1,14.686172942630947
CC1OC1C(=O)C=O,14.320936456054028,1,14.686189834959805
N#CCC1OCCO1,14.247760255775802,1,14.686203200370073
N=C(NC=O)C1CN1,14.176860722078413,1,14.686214981600642
OC1CCCC(=O)CC1,14.175911041686145,1,14.686225842684507
O=C1CC(=O)N2CC12,14.361012674639937,2,17.65834848769009
CC1OC1C(=O)C=O,14.320936456054028,2,17.658362093381584
N#CCC1OCCO1,14.247760255775802,2,17.65837280359119
N#CC#CC12CC1CC2,14.222182461019367,2,17.658383914269507
CC(CC=O)(C=O)C#N,14.214149905181138,2,17.658395896665752
OCC1OC1C(=O)C#N,14.537320523215499,3,20.812328319065273
OCC1OC1CCC#N,14.374661945965766,3,20.81234259624034
OCC1OC1C(F)(F)F,14.373536653904779,3,20.81235185265541
CCC(=O)C1OC1C#N,14.372769179746978,3,20.812360719777644
CC(=O)CC1OC1C#N,14.372361516660545,3,20.812370328232646
OCC1OC1C(F)(F)F,15.358272248446156,4,24.2155206752941
FC(F)(F)C1OC1C#N,14.66461864730126,4,24.21553413104266
CCC(O)CC(=O)CO,14.655559937785222,4,24.215545492246747
NC(CO)(CCO)C#N,14.654989253165647,4,24.215555370785296
OCCC1=NC=CN=C1,14.654675397443395,4,24.215565108694136
FC(F)(F)C1OC1C#N,16.2061654741791,5,27.55616103671491
OCC1OC1C(F)(F)F,15.358272248446156,5,27.556173800490797
OCC1OC=NCC=C1,15.113180459408374,5,27.5561831491068
FC(F)(F)C1OCC=C1,15.110374833072946,5,27.556191715411842
FC(F)(F)C#CC=O,15.07854070978441,5,27.556201794184744
FC(F)(F)C=O,16.70531601768414,6,30.504720860160887
FC(F)(F)C1OC1C#N,16.2061654741791,6,30.504734526388347
FC(F)(F)F,16.0889206566771,6,30.50474554579705
FC(F)(F)C#CC=O,15.992493902388219,6,30.50475520454347
NC(C1CN1)C(F)(F)F,15.867739566297919,6,30.504765504039824
FC(F)(F)F,20.233744644119497,7,33.36183104477823
FC(F)(F)C(F)(F)F,17.422712488575563,7,33.36184474080801
CC(=O)C(F)(F)F,17.025460339405882,7,33.36185549106449
NCC(F)(F)F,16.79556916068664,7,33.36186530906707
FC(F)(F)C1CC1,16.718546946409962,7,33.3618742255494
FC(F)(F)F,20.233744644119497,8,35.76433386001736
FC(F)(F)C(F)(F)F,18.24592581831564,8,35.76434786617756
FC(F)(F)CC(F)(F)F,17.62294288662622,8,35.76435818616301
CCCOC(C)(C)CC,17.25330625492486,8,35.76436714269221
COCCC(C)(C)C,17.175631650686668,8,35.76437575928867
FC(F)(F)F,20.233744644119497,9,38.63715692330152
FC(F)(F)C(F)(F)F,18.24592581831564,9,38.63717187102884
FC(F)(F)CC(F)(F)F,17.62294288662622,9,38.63718265108764
OCC(F)(F)F,17.06641915033334,9,38.637192820198834
CNC(C)(C)C(F)(F)F,16.96667548117595,9,38.63720202818513
FC(F)(F)F,20.233744644119497,10,41.662036270834506
FC(F)(F)C(F)(F)F,18.24592581831564,10,41.66204995661974
FC(F)(F)C#N,17.77539268531075,10,41.66206011548638
FC(F)(F)CC(F)(F)F,17.62294288662622,10,41.662069123238325
FC(F)(F)C#CC#N,17.070790166290656,10,41.66207822971046
