smiles,ie,batch,time
CC(=O)N1C=C(N)C=N1,13.296185475401671,0,8.738732879050076
CN1C(=N)NCC1=O,13.75744456128075,0,8.763039220124483
CCC(C)C1CC1C,13.39218754707656,0,8.857284314930439
OC(C#C)C1=CC=CO1,13.51652246068602,0,8.858396564610302
O=C1CC(=O)N2CC12,14.361012674639937,0,8.967797195538878
CC1OC1C(=O)C=O,14.320936456054028,0,9.00931431632489
N=C1OC2C1OC21CC1,13.548667538354039,0,9.012994291260839
CC12C3OC4CN1C4C23,12.781881397862776,0,9.019710950553417
CC(O)C12CC3C(C1)N23,13.44714461522392,0,9.058467703871429
COCC1(CCN1)C#N,13.336047705650799,0,9.101512774825096
O=CC12CC=CCC1O2,13.65343038127503,0,9.141510729677975
CC1C(CN2CC2)N1C,12.63472334960045,0,9.222109594382346
CCC12NC1C1OC21C,13.207010650782081,0,9.239945688284934
CC1CCCOC=N1,13.314218005983093,0,9.264582719653845
CC1CC(=O)C(=N)N1C,13.026476752596864,0,9.307840591296554
N#CCC1OCCO1,14.247760255775802,0,9.45277913659811
OC(C#N)C(=N)NC=O,13.954165885573161,1,16.45587718952447
CC1C2NC(=O)COC12,13.599994581970918,1,16.51541279628873
O=C1C2C3CC2OC1C3,13.585526469825936,1,16.540125801227987
OC1CCCC(=O)CC1,13.551027540156042,1,16.562151527032256
N=C(NC=O)C1CN1,13.402305640980899,1,16.6669895760715
ON=C1CCOC(=O)C1,13.990309391528285,1,16.975199185311794
N=C(CN1CC1)OC=O,13.739650746531765,1,16.994509417563677
CNC1C(O)C(O)C1=O,13.307769831347287,1,16.9990874202922
ON=C1CN2C(C#N)C12,14.016691757187004,2,19.528928749263287
ON=C1C2CN2C1C#N,14.015355474401645,2,19.547392931766808
CC#CCC#CC1CO1,13.195452542455655,2,19.583327542990446
N#CC#CC12CC1CC2,13.664959581429912,2,19.653020082972944
CC1N(CC#N)CC1=O,13.663829852732192,2,19.6983889201656
CC(CC=O)(C=O)C#N,14.357947289104459,2,20.08550318982452
ON=C1CN(CC#N)C1,13.355269251185405,2,20.158057588152587
OCC1OC1C(=O)C#N,14.537320523215499,2,20.16364527773112
CCC(=O)C1OC1C#N,14.35997027300425,3,22.609886311925948
CC1OC1CO,14.302961896580541,3,22.669994705356658
NC(=O)CC1OC1C#N,14.363834775795794,3,22.715220963582397
CC1C(CO)OC1C#C,13.580965614019192,3,22.730766713619232
OCC1OC1C(F)(F)F,15.358272248446156,3,22.82257808558643
OCC1OC1CCC#N,14.106596819177184,3,22.83924608398229
CC(=O)CC1OC1C#N,14.263888758652683,3,22.950949802994728
CC1OC(C)C(CO)O1,13.531837334382999,3,23.56061117351055
OCCC=O,14.400534784750164,4,25.835584555752575
FC(F)(F)C1OC1C#N,16.2061654741791,4,25.908505420200527
OCCC1=NC=CN=C1,12.957798652686165,4,25.956480043940246
OCC#CC#CCC=O,13.13395882462612,4,26.030806581489742
OCCC(O)(CO)C#N,14.063373594735936,4,26.122068356722593
OCCC1=CN=CC=N1,12.758795906827118,4,26.148533632978797
